,0,1
0,16,21
1,11,45
2,16,44
3,11,28
4,5,31
5,7,10
6,4,42
7,12,45
8,22,31
9,9,44
10,15,27
11,34,44
12,7,31
13,8,33
14,9,33
15,5,27
16,30,36
17,33,39
18,42,44
19,18,31
20,4,18
21,6,35
22,8,31
23,7,27
24,10,32
25,6,18
26,8,28
27,5,7
28,23,35
29,14,40
30,29,44
31,8,37
32,9,26
33,4,39
34,21,43
35,17,26
36,8,45
37,18,43
38,24,36
39,25,44
40,5,23
41,13,43
42,13,31
43,43,46
44,9,30
45,8,23
46,6,39
47,18,34
48,19,41
49,14,35
50,44,47
51,29,37
52,11,43
53,16,26
54,6,30
55,19,44
56,16,18
57,26,43
58,6,19
59,17,36
60,7,40
61,9,45
62,16,46
63,28,39
64,5,22
65,28,46
66,33,39
67,24,42
68,5,37
69,24,38
70,34,46
71,17,39
72,19,29
73,9,33
74,11,18
75,8,36
76,36,42
77,9,17
78,33,41
79,26,29
80,32,43
81,33,39
82,34,41
83,23,47
84,10,25
85,10,27
86,11,30
87,25,32
88,26,40
89,6,42
90,15,25
91,36,40
92,18,36
93,20,27
94,31,33
95,29,43
96,23,47
97,36,45
98,10,44
99,10,13
100,9,22
101,24,40
102,14,38
103,11,29
104,16,24
105,31,39
106,8,35
107,24,36
108,18,27
109,17,30
110,8,35
111,14,34
112,13,41
113,14,38
114,30,40
115,11,35
116,9,39
117,5,15
118,14,47
119,15,40
120,30,47
121,7,45
122,18,44
123,9,18
124,39,41
125,19,36
126,15,31
127,4,10
128,18,41
129,20,45
130,26,30
131,9,12
132,31,41
133,9,34
134,9,15
135,28,34
136,25,27
137,29,30
138,22,28
139,35,47
140,12,40
141,43,47
142,12,20
143,6,9
144,36,39
145,9,40
146,14,46
147,4,22
148,21,42
149,16,33
150,16,42
151,12,20
152,18,35
153,16,38
154,16,37
155,22,26
156,26,33
157,25,28
158,28,36
159,7,14
160,30,32
161,8,13
162,31,42
163,43,46
164,26,38
165,13,45
166,13,17
167,4,11
168,7,27
169,13,26
170,22,40
171,41,47
172,13,37
173,13,33
174,5,35
175,25,35
176,6,41
177,10,27
178,7,21
179,26,33
180,23,44
181,15,20
182,17,41
183,22,37
184,12,46
185,35,38
186,7,42
187,14,29
188,39,43
189,8,43
190,4,44
191,16,45
192,11,19
193,13,32
194,12,31
195,12,34
196,10,27
197,12,39
198,18,44
199,30,40
200,37,40
201,12,46
202,32,37
203,24,26
204,12,43
205,36,47
206,12,14
207,7,17
208,5,30
209,22,41
210,24,34
211,38,47
212,15,35
213,32,44
214,36,47
215,21,36
216,28,46
217,23,41
218,10,47
219,16,19
220,27,30
221,15,28
222,17,36
223,32,45
224,8,39
225,4,8
226,25,29
227,41,46
228,9,42
229,16,40
230,7,47
231,12,31
232,27,36
233,10,28
234,4,14
235,15,40
236,15,23
237,24,45
238,16,24
239,11,31
240,9,16
241,6,9
242,9,30
243,24,30
244,27,30
245,8,25
246,7,45
247,8,45
248,20,26
249,24,44
250,9,46
251,21,37
252,12,19
253,13,42
254,12,34
255,11,33
256,4,31
257,4,8
258,23,42
259,35,39
260,5,7
261,5,13
262,21,23
263,35,37
264,23,43
265,18,37
266,30,41
267,23,34
268,12,45
269,5,37
270,12,22
271,9,12
272,24,40
273,18,42
274,26,35
275,17,18
276,38,42
277,11,17
278,32,35
279,23,32
280,28,30
281,4,42
282,24,46
283,15,29
284,31,47
285,16,44
286,12,14
287,14,38
288,23,37
289,9,28
290,27,32
291,15,17
292,19,43
293,43,45
294,10,44
295,4,27
296,9,14
297,16,46
298,40,45
299,14,44
300,5,9
301,13,23
302,28,46
303,6,34
304,6,23
305,10,39
306,24,30
307,21,32
308,22,27
309,18,47
310,4,41
311,19,32
312,13,28
313,9,16
314,33,41
315,5,27
316,21,43
317,43,45
318,25,32
319,21,39
320,25,40
321,16,30
322,9,42
323,6,30
324,10,47
325,4,24
326,10,36
327,38,44
328,12,24
329,12,47
330,8,15
331,22,25
332,20,46
333,31,35
334,15,38
335,6,17
336,22,38
337,11,14
338,13,20
339,6,20
340,24,33
341,20,31
342,34,35
343,29,42
344,24,26
345,27,33
346,18,38
347,12,17
348,9,25
349,16,31
350,43,45
351,35,47
352,12,33
353,25,27
354,22,42
355,25,46
356,25,31
357,6,38
358,39,45
359,16,45
360,28,46
361,32,40
362,4,16
363,18,25
364,33,46
