,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,9.492,9.24,8.505,8.19,6.72,7.707,5.88,6.804,5.964,6.51,6.51,6.3,6.762,5.88,6.3,5.67,7.14,7.35,8.316,8.946,9.24,9.345,9.87,8.82,8.841,8.82,8.505,8.61,7.98,7.308,8.316,21.84,24.402,24.024,23.226,22.05,20.79,8.19,8.19,7.98,6.3,7.98,6.51,7.14,5.04,7.518,5.292,4.872
1,6.72,7.56,5.88,6.09,5.46,5.901,5.46,5.691,5.46,6.3,7.182,6.153,8.148,7.833,8.61,7.35,8.988,8.442,8.967,8.946,8.988,8.82,8.988,8.82,8.82,8.736,8.757,8.631,8.61,7.35,9.03,20.58,22.68,22.68,22.68,21.84,19.95,7.98,7.833,7.98,6.72,7.35,6.3,6.3,6.3,6.3,5.67,4.809
2,7.35,5.04,4.2,4.2,3.822,4.2,3.15,4.62,3.927,4.41,6.384,6.804,7.329,7.77,7.77,7.98,8.19,8.82,8.82,9.114,8.505,8.82,8.4,8.127,7.35,7.161,7.161,6.783,6.699,7.098,7.14,20.16,22.47,21.651,21.945,21.105,20.16,7.665,7.35,7.434,6.72,8.106,7.14,7.14,5.67,5.985,5.88,4.704
3,6.3,6.51,4.4625,4.83,4.473,5.019,4.599,4.641,4.62,4.62,5.67,3.822,4.62,4.389,5.985,6.3,7.35,7.14,7.14,7.14,7.14,7.98,7.98,7.98,7.476,7.98,8.001,7.896,7.434,7.14,7.098,21.084,23.184,24.7065,24.738,23.52,22.092,9.891,8.82,7.707,7.245,8.4,7.266,7.98,7.035,9.366,7.56,5.46
4,7.497,7.56,4.893,6.552,4.5255,6.531,5.25,6.174,4.83,5.544,6.3,4.368,5.67,4.431,5.25,5.124,6.09,6.174,8.19,7.35,7.56,7.56,7.35,6.72,7.56,8.4,7.77,7.644,7.056,6.93,8.988,21.84,24.276,26.04,25.872,23.52,22.407,9.786,8.127,7.35,6.72,8.82,7.14,7.56,5.25,8.19,4.179,4.41
5,7.14,7.14,5.04,5.46,5.04,5.145,4.704,5.46,4.41,4.2,7.77,6.531,8.4,7.14,9.24,7.539,8.484,7.35,8.2215,8.4,7.77,7.35,7.602,6.9615,7.623,7.455,7.455,7.98,6.405,7.56,9.24,20.16,22.806,22.365,23.73,22.47,21.0,8.925,7.98,8.148,6.93,8.043,6.51,8.4,6.72,5.46,5.46,5.46
6,5.46,5.376,5.376,5.46,5.46,5.46,5.46,5.46,5.46,5.67,5.67,4.41,4.41,5.88,5.88,4.41,4.41,5.46,5.46,5.46,5.46,6.804,6.804,8.862,8.862,8.925,8.925,8.19,8.19,7.98,7.98,21.945,21.945,21.672,21.672,21.693,21.693,9.03,9.03,8.82,8.82,9.03,9.03,8.547,8.547,5.04,4.62,4.221
7,4.62,4.62,3.99,3.99,3.99,3.948,3.885,3.99,3.99,4.62,5.25,6.783,6.3,7.749,7.854,7.644,7.581,7.98,7.98,8.001,7.98,8.106,7.791,8.19,8.232,8.61,8.61,8.211,7.938,8.4,10.29,23.079,25.62,24.948,25.2,23.31,23.1,10.479,9.282,8.82,8.295,7.833,7.35,7.266,7.245,7.77,7.77,6.972
8,7.56,7.035,5.124,6.216,5.04,5.88,5.04,6.069,5.46,6.51,6.993,8.022,7.77,8.001,9.408,8.19,8.8725,7.728,7.854,7.14,6.972,6.636,6.909,6.93,6.909,7.896,8.19,7.98,7.518,6.93,8.82,22.47,24.78,25.074,25.074,23.121,21.672,8.715,8.4,8.19,7.728,7.875,7.665,7.35,6.51,7.35,7.266,7.35
9,7.98,7.98,6.93,6.468,5.04,5.46,4.62,5.124,5.04,4.62,5.775,7.686,7.77,8.274,9.492,9.45,9.45,10.479,9.45,10.08,8.988,8.442,8.19,7.56,7.56,6.993,6.93,6.993,6.93,7.056,9.408,20.412,23.1,22.743,22.26,22.05,20.58,7.98,7.98,7.896,7.623,8.085,6.93,7.14,5.88,6.636,6.216,5.502
10,6.93,7.497,5.208,5.46,4.2,4.62,3.99,3.36,3.15,3.549,4.2,3.99,5.04,4.62,6.09,5.6595,7.14,6.489,6.93,6.657,6.741,6.846,6.93,6.888,6.93,7.644,7.644,7.833,6.93,6.93,6.636,20.244,22.89,24.57,25.095,23.94,22.218,9.744,9.03,7.644,7.644,7.875,6.93,6.93,7.14,7.875,7.707,7.833
11,10.08,9.177,7.035,8.232,5.712,6.951,4.41,5.04,3.78,3.78,3.99,5.25,5.25,5.25,5.25,5.88,8.295,7.644,8.4,8.4,7.56,7.98,8.148,8.274,8.106,7.77,7.35,6.3,6.3,6.93,7.308,19.95,23.31,25.788,25.872,25.158,21.63,9.975,8.4,8.127,8.127,8.526,8.421,7.644,6.804,5.103,4.578,4.83
12,6.783,5.796,4.2,5.544,4.998,5.46,4.2,5.46,5.25,5.754,6.237,7.455,8.085,8.484,9.45,8.925,8.925,8.526,7.707,8.316,7.686,7.917,8.127,7.98,7.98,8.106,8.106,7.812,7.812,6.72,8.631,20.58,22.26,23.1,23.1,21.525,20.937,8.316,8.316,8.253,7.665,7.56,5.775,7.14,3.57,5.25,3.591,1.659
13,3.612,3.15,1.323,0.42,0.42,0.42,0.042,1.89,2.079,4.2,5.544,5.67,6.51,7.455,8.988,7.791,8.4,8.106,8.4,8.106,7.245,8.4,8.421,8.379,8.421,8.631,9.156,8.61,7.665,7.371,9.723,20.832,24.78,24.36,24.255,23.1,21.84,9.03,7.707,8.379,7.35,8.4,5.607,6.3,3.339,5.46,3.78,3.15
14,4.2,5.271,3.15,3.843,2.1,4.011,2.1,4.872,4.2,4.83,7.14,4.41,6.93,7.77,9.429,9.87,9.555,9.24,8.988,8.4,7.833,7.875,7.56,7.35,6.93,7.14,6.72,6.888,6.3,6.72,8.169,21.63,24.36,24.087,24.57,23.94,22.638,10.479,8.82,8.064,7.56,7.707,6.3,7.623,3.78,5.67,4.83,5.25
15,6.216,6.72,5.25,5.88,5.25,5.88,5.25,5.355,5.25,6.3,7.077,7.56,7.56,8.925,10.29,9.051,9.03,8.085,7.9275,8.4,7.812,7.77,7.7595,7.98,8.169,7.56,7.56,7.98,6.951,7.854,8.82,20.454,22.932,22.134,22.26,22.26,21.84,9.24,8.82,8.19,7.56,7.35,6.93,6.3,5.04,5.04,4.62,4.2
16,5.355,5.04,5.208,4.872,4.83,5.124,4.83,4.83,5.67,6.783,7.14,7.56,7.35,7.5705,8.484,8.925,9.03,9.24,8.82,9.135,7.665,7.35,7.182,7.434,7.182,7.182,7.182,7.182,7.14,7.182,8.085,21.0,23.73,23.1,23.94,23.268,21.42,8.61,7.98,7.98,7.98,8.484,7.35,7.77,6.72,6.93,4.452,4.641
17,5.25,5.88,4.935,5.88,5.04,6.3,5.04,5.46,5.439,4.935,4.935,5.04,6.09,7.035,7.35,6.741,7.35,7.455,7.77,7.56,7.98,7.56,7.56,7.98,7.98,6.909,6.72,6.825,6.825,6.3,7.14,20.055,23.94,24.36,24.78,23.94,22.68,10.08,8.4,9.45,7.56,8.253,7.35,7.56,7.35,7.98,6.678,6.3
18,8.211,7.644,5.502,6.195,5.544,5.88,5.88,4.41,4.41,5.04,5.46,5.46,5.67,5.985,6.195,7.35,7.287,7.875,7.896,8.4,7.98,7.728,7.896,7.56,7.5285,7.98,7.56,7.602,7.14,6.531,6.951,20.37,22.575,23.94,24.15,23.31,21.651,9.66,8.61,9.114,8.19,8.4,7.455,7.56,5.67,6.636,5.586,5.985
19,7.413,7.98,6.657,7.56,6.09,7.35,6.09,6.636,6.153,8.316,7.854,10.08,8.4,9.975,11.424,9.66,9.975,9.156,9.03,9.24,7.35,7.35,6.909,7.4235,7.56,7.35,6.93,6.636,6.72,6.888,8.967,21.0,23.394,23.94,23.604,22.995,22.029,9.66,9.24,9.66,8.064,8.4,6.951,7.56,6.384,6.3,6.3,5.523
20,6.51,7.35,6.72,6.51,6.3,6.468,6.3,6.678,6.678,7.014,6.699,9.24,7.98,10.29,12.432,11.55,12.012,11.34,10.794,10.563,9.996,9.45,9.24,9.24,8.82,9.24,8.82,8.904,9.135,9.03,10.29,22.05,24.675,24.15,24.528,23.52,22.68,9.996,8.547,10.5,8.82,7.98,7.98,7.686,6.951,6.951,6.72,6.552
21,6.825,6.951,6.951,6.951,6.951,6.552,6.342,6.636,6.426,6.951,6.384,9.24,9.135,10.185,11.97,11.361,11.403,11.361,11.025,11.004,10.038,9.681,10.059,10.08,9.828,9.24,9.198,9.66,9.45,9.66,10.71,22.68,25.326,24.78,25.158,24.57,23.1,11.193,9.702,10.71,8.4,8.19,7.35,8.4,6.951,6.993,6.909,6.804
22,6.993,6.762,6.426,6.3,6.3,6.384,6.3,6.3,6.3,6.93,6.615,8.064,7.623,10.185,13.482,10.185,11.088,10.185,10.689,10.08,9.24,10.08,10.164,10.08,9.807,9.24,8.82,9.786,9.66,9.45,11.592,22.596,27.72,24.78,25.2,24.36,23.1,12.264,10.5,11.214,8.61,8.61,7.77,7.56,6.993,6.93,6.3,6.3
23,6.93,6.93,6.3,6.3,6.3,6.3,5.775,6.3,6.3,6.804,7.287,8.82,8.4,9.996,13.188,11.886,11.97,11.34,11.76,11.2875,10.773,10.8465,10.92,10.353,10.269,9.849,9.702,10.017,9.828,9.282,10.5,22.89,27.342,25.872,25.956,26.334,23.52,11.97,9.408,10.773,7.602,9.66,7.413,7.77,6.426,8.19,7.77,6.846
24,8.568,8.61,6.405,6.447,6.3,6.384,5.88,6.3,5.922,6.3,6.3,6.3,6.3,7.182,7.56,7.77,9.324,7.98,9.114,8.4,8.19,8.148,7.875,7.77,7.707,6.804,6.783,6.804,6.804,6.867,7.98,19.95,22.932,22.617,23.94,23.31,21.231,8.274,7.371,7.602,7.245,7.56,6.93,7.56,6.3,7.14,6.72,6.3
25,8.358,5.46,4.326,7.14,4.83,7.14,4.83,5.88,4.83,5.04,5.04,5.04,5.04,5.796,5.208,4.2,6.72,5.67,8.4,7.035,7.77,7.56,7.098,8.4,9.324,9.24,9.03,9.03,7.77,7.119,9.03,21.21,24.15,24.15,24.171,24.15,22.89,10.5,9.135,9.45,6.867,8.064,7.56,7.56,5.67,5.88,5.04,5.04
26,5.25,6.048,4.2,4.62,3.99,4.62,4.2,5.25,4.935,4.788,5.67,6.72,7.98,7.77,8.61,8.4,7.707,8.001,8.484,7.98,7.77,7.749,7.749,8.19,7.686,7.854,7.77,8.295,8.274,7.812,9.072,20.58,23.31,24.171,24.78,24.36,23.31,10.5,10.08,8.82,8.316,7.56,7.35,7.98,6.825,7.98,8.379,7.56
